web-scraper-order,web-scraper-start-url,piece_link,piece_link-href,details,etat,adresse,prix,image-src
"1750853528-18","https://www.expat-dakar.com/equipements-pieces?page=29","Bâches auto (couvre-voiture) pour suv,4×4,berline
                                Neuf
                                                                                    Liberte 6,
                                                                                Dakar
                                    
                                        16. avr., 15:31
                                    
                    25 000 F Cfa
                        
                        770922410","https://www.expat-dakar.com/annonce/baches-auto-couvre-voiture-pour-suv44berline-5345562","Détails","Neuf","Liberte 6
            
                Dakar","25 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/de385b14a02600cd9ace197e385f6422/-/horizon-files-prod/ed/picture/qder8rjw/543132ad43b640a51d82b87b26f73fd7529d7e0e.jpg"
"1750853532-19","https://www.expat-dakar.com/equipements-pieces?page=29","Tapis pose pieds pour véhicule
                                Neuf
                                                                                    Liberte 6,
                                                                                Dakar
                                    
                                        4. avr., 19:40
                                    
                    15 000 F Cfa
                        
                        770922410","https://www.expat-dakar.com/annonce/tapis-pose-pieds-pour-vehicule-5347507","Détails","Neuf","Liberte 6
            
                Dakar","15 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/aed313566fa0378b8887485b5a34236c/-/horizon-files-prod/ed/picture/qq4q028v/5e1ca271c140bdb20ee8a789722589d3a4dff6d2.jpg"
"1750853537-20","https://www.expat-dakar.com/equipements-pieces?page=29","arroseur de jardin, voiture flexible 15m
                                Neuf
                                                                                    Grand-Dakar,
                                                                                Dakar
                                    
                                        lundi, 13:07
                                    
                    10 000 F Cfa
                        
                        782963838
                    
                        762963434
                    
                        771874229","https://www.expat-dakar.com/annonce/arroseur-de-jardin-voiture-flexible-15m-3051818","Détails","Neuf","Grand-Dakar
            
                Dakar","10 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/e8408cf6e63fca65c2172d6b90646f61/-/horizon-files-prod/ed/picture/qdzrznr/9a02b67ad2fed90d60c098e64721a0af601ca8c6.jpg"
"1750853544-21","https://www.expat-dakar.com/equipements-pieces?page=28","Chargeur de batterie de voiture/moto 12V, 3A  - EAFC
                                Neuf
                                                                                    Patte d‘oie,
                                                                                Dakar
                                    
                                        26. mai, 19:04
                                    
                    10 000 F Cfa
                        
                        781932453
                    
                        784485061
                    
                        783570169","https://www.expat-dakar.com/annonce/chargeur-de-batterie-de-voituremoto-12v-3a-eafc-5469806","Détails","Neuf","Patte d‘oie
            
                Dakar","10 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/1e123936e4619c370bf9d3c9311d4a45/-/horizon-files-prod/ed/picture/qweenxr5/d4bf64c04ad5f63648c9a84d908f24a8c2897e10.jpg"
"1750853557-22","https://www.expat-dakar.com/equipements-pieces?page=28","Housse intérieure pour véhicule en simili cuir
                                Neuf
                                                                                    Liberte 6,
                                                                                Dakar
                                    
                                        Hier, 14:21
                                    
                    45 000 F Cfa
                        
                        770922410","https://www.expat-dakar.com/annonce/housse-interieure-pour-vehicule-en-simili-cuir-5507831","Détails","Neuf","Liberte 6
            
                Dakar","45 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/c5b38715df3b2e8c6c57e28b8bd27144/-/horizon-files-prod/ed/picture/q444m5ve/4291db300ddf72bde04a3217e4544fe2e9829da3.jpg"
"1750853562-23","https://www.expat-dakar.com/equipements-pieces?page=28","Bâches auto(4×4,suv,berline)
                                Neuf
                                                                                    Liberte 6,
                                                                                Dakar
                                    
                                        mardi, 15:46
                                    
                    20 000 F Cfa
                        
                        770922410","https://www.expat-dakar.com/annonce/baches-auto44suvberline-5517438","Détails","Neuf","Liberte 6
            
                Dakar","20 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/94dfbbd06a6ff5f84657d54f49f240c7/-/horizon-files-prod/ed/picture/qpddq6rr/4d1c1cc279a874ab1be569b77c1544145733d0f7.jpg"
"1750853567-24","https://www.expat-dakar.com/equipements-pieces?page=28","Autoradio Tactile 7 Pouces MiroirLINK - Commande au Volant
                                Neuf
                                                                                    Patte d‘oie,
                                                                                Dakar
                                    
                                        20. mai, 20:19
                                    
                    40 000 F Cfa
                        
                        781932453
                    
                        784485061
                    
                        783570169","https://www.expat-dakar.com/annonce/autoradio-tactile-7-pouces-miroirlink-commande-au-volant-5545998","Détails","Neuf","Patte d‘oie
            
                Dakar","40 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/8a09086ce35f2ba77e07c3fa1b4f72a2/-/horizon-files-prod/ed/picture/qrzzm9m9/ba61ba551140387731adbfc21ec243aabde27f1e.jpg"
"1750853570-25","https://www.expat-dakar.com/equipements-pieces?page=28","Bâches auto(4×4,suv,berline)
                                Neuf
                                                                                    Liberte 6,
                                                                                Dakar
                                    
                                        Hier, 14:31
                                    
                    20 000 F Cfa
                        
                        770922410","https://www.expat-dakar.com/annonce/baches-auto44suvberline-5517427","Détails","Neuf","Liberte 6
            
                Dakar","20 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/274cd057d2f81b50bc8d4414e81d3387/-/horizon-files-prod/ed/picture/qnggnx8x/056e83b79ce28deca35d75200e552e728b88304f.jpg"
"1750853573-26","https://www.expat-dakar.com/equipements-pieces?page=28","Bache Voiture 4x4
                                Neuf
                                                                                    Grand-Dakar,
                                                                                Dakar
                                    
                                        23. avr., 13:38
                                    
                    25 000 F Cfa
                        
                        782963838
                    
                        762963434
                    
                        771874229","https://www.expat-dakar.com/annonce/bache-voiture-4x4-2874446","Détails","Neuf","Grand-Dakar
            
                Dakar","25 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/787e3afd162fadb75338a2625cc56711/-/horizon-files-prod/ed/picture/qv5d22v/28826204bd1d65e03d64a8e57ae2117ba8f43ef4.png"
"1750853577-27","https://www.expat-dakar.com/equipements-pieces?page=28","Tapis pour voiture
                                Neuf
                                                                                    Hann maristes,
                                                                                Dakar
                                    
                                        16. avr., 17:05
                                    
                    20 000 F Cfa
                        
                        785268888
                    
                        785268888
                    
                        776968484","https://www.expat-dakar.com/annonce/tapis-pour-voiture-5581210","","Neuf","Hann maristes
            
                Dakar","20 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/45b8b326763dfee78326cc519cef9943/-/horizon-files-prod/ed/picture/qrzz9v7j/78e2768515aae79eb00b8e4a1bc160bad475bb38.jpg"
"1750853580-28","https://www.expat-dakar.com/equipements-pieces?page=28","Ampoules Led pour Phares de Véhicules
                                Neuf
                                                                                    Hann maristes,
                                                                                Dakar
                                    
                                        16. avr., 17:05
                                    
                    30 000 F Cfa
                        
                        785268888
                    
                        785268888
                    
                        776968484","https://www.expat-dakar.com/annonce/ampoules-led-pour-phares-de-vehicules-5583064","","Neuf","Hann maristes
            
                Dakar","30 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/631493f0dfcb4143efb2c16770bbf7a7/-/horizon-files-prod/ed/picture/qenn4prz/b72aaf6fc3a1704f18d59631a4d6432ce5b9029f.jpg"
"1750853585-29","https://www.expat-dakar.com/equipements-pieces?page=28","JEEP GRAND CHEROKEE BOITE DE VITESSE AUTOMATIQUE
                                D'occasion
                                                                                    Colobane,
                                                                                Dakar
                                    
                                        30. avr., 00:14
                                    
                    1 F Cfa
                        
                        772684188
                    
                        773870030
                    
                        775789236","https://www.expat-dakar.com/annonce/jeep-grand-cherokee-boite-de-vitesse-automatique-5632647","Détails","D'occasion","Colobane
            
                Dakar","1 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/4f1a92413f2adc66fa4896cd5c5dbc75/-/horizon-files-prod/ed/picture/q0g2pm6d/ee708fcce62a6cf9738ffc376d06570d90a595cc.jpg"
"1750853588-30","https://www.expat-dakar.com/equipements-pieces?page=28","Bâches pour véhicule
                                Neuf
                                                                                    Sicap Liberté,
                                                                                Dakar
                                    
                                        16. avr., 15:29
                                    
                    20 000 F Cfa
                        
                        770922410","https://www.expat-dakar.com/annonce/baches-pour-vehicule-5677392","Détails","Neuf","Sicap Liberté
            
                Dakar","20 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/c65b287f226f1cb8bd3fb9f535a5a74b/-/horizon-files-prod/ed/picture/q9m8kj95/0c845a1b098dc52609de492b18ee34955e36c991.jpg"
"1750853595-31","https://www.expat-dakar.com/equipements-pieces?page=27","Tapis pose pieds pour véhicule
                                Neuf
                                                                                    Sicap Liberté,
                                                                                Dakar
                                    
                                        mardi, 15:38
                                    
                    15 000 F Cfa
                        
                        770922410","https://www.expat-dakar.com/annonce/tapis-pose-pieds-pour-vehicule-5725037","Détails","Neuf","Sicap Liberté
            
                Dakar","15 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/c9466cc4ad08b97b86c41373eb4524c8/-/horizon-files-prod/ed/picture/qj4jz97v/35006b476a5fe93a1a713d95ae0cfb3a8acd1690.jpg"
"1750853602-32","https://www.expat-dakar.com/equipements-pieces?page=27","Lavage intérieur voiture
                                Neuf
                                                                                    Guediawaye,
                                                                                Dakar
                                    
                                        20. avr., 17:52
                                    
                    3 000 F Cfa
                        
                        775578275
                    
                        763583858
                    
                        775578275","https://www.expat-dakar.com/annonce/lavage-interieur-voiture-5776251","Détails","Neuf","Guediawaye
            
                Dakar","3 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/8b03b4364c3b627736e08a3dd16b35ee/-/horizon-files-prod/ed/picture/qq4dxg5j/a9a6adb75a844bd7a1826d14ee0cc461c15c2b09.jpg"
"1750853609-33","https://www.expat-dakar.com/equipements-pieces?page=27","BANDEROLES LED / LUMIÈRES CLIGNOTANTES / FREINS ARRIÈRES
                                Neuf
                                                                                    Hann maristes,
                                                                                Dakar
                                    
                                        16. avr., 15:47
                                    
                    20 000 F Cfa
                        
                        785268888
                    
                        785268888
                    
                        776968484","https://www.expat-dakar.com/annonce/banderoles-led-lumieres-clignotantes-freins-arrieres-5788548","","Neuf","Hann maristes
            
                Dakar","20 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/d971e7e517b3e911f540bfe7d79ed305/-/horizon-files-prod/ed/picture/q9m8z2q7/02216bcc87a8cb1dd7dadab371c0c7e45e9c64d0.jpg"
"1750853616-34","https://www.expat-dakar.com/equipements-pieces?page=27","Housses de siège voiture
                                Neuf
                                                                                    Grand-Dakar,
                                                                                Dakar
                                    
                                        23. avr., 13:37
                                    
                    60 000 F Cfa
                        
                        782963838
                    
                        762963434
                    
                        771874229","https://www.expat-dakar.com/annonce/housses-de-siege-voiture-5294164","Détails","Neuf","Grand-Dakar
            
                Dakar","60 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/d90b40186a8fe34b1afb6203a12dbd78/-/horizon-files-prod/ed/picture/qendmvp4/47e36a6fbcc6f2098cb3ddc59a64f86b0f25f0f4.png"
"1750853621-35","https://www.expat-dakar.com/equipements-pieces?page=27","Mini Vantilo pour véhicule, table de bureau, lit ,chambre...
                                Neuf
                                                                                    Sicap Liberté,
                                                                                Dakar
                                    
                                        Hier, 14:30
                                    
                    9 000 F Cfa
                        
                        770922410","https://www.expat-dakar.com/annonce/mini-vantilo-pour-vehicule-table-de-bureau-lit-chambre-5812890","Détails","Neuf","Sicap Liberté
            
                Dakar","9 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/ce737377c574cbc983242d070a588142/-/horizon-files-prod/ed/picture/qv4p62pg/5127d552a80b588358a8745d9be6fd235ec5baf6.jpg"
"1750853626-36","https://www.expat-dakar.com/equipements-pieces?page=27","Bâche(couvre-voiture pour suv ou 4×4)
                                Neuf
                                                                                    Sicap Liberté,
                                                                                Dakar
                                    
                                        Hier, 14:29
                                    
                    25 000 F Cfa
                        
                        770922410","https://www.expat-dakar.com/annonce/bachecouvre-voiture-pour-suv-ou-44-5808605","Détails","Neuf","Sicap Liberté
            
                Dakar","25 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/000ae825a5639a9adbb6dae58e8539c8/-/horizon-files-prod/ed/picture/qngdez9z/66c079258c9f1a6662f7c8ce12e23fd48fb3fd63.jpg"
"1750853633-37","https://www.expat-dakar.com/equipements-pieces?page=27","Gonfleur
                                Neuf
                                                                                    Ouakam,
                                                                                Dakar
                                    
                                        3. mai, 14:32
                                    
                    15 000 F Cfa
                        
                        775636576
                    
                        772891632","https://www.expat-dakar.com/annonce/gonfleur-5850878","Détails","Neuf","Ouakam
            
                Dakar","15 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/496d4ff65db8f305111b9a0d6475f658/-/horizon-files-prod/ed/picture/qm5r8dkm/0c2c31280fc799a7a1f0b4f47a1eaf2a9ef3c504.jpg"
"1750853643-38","https://www.expat-dakar.com/equipements-pieces?page=27","Housse Voiture De Luxe 5 places
                                Neuf
                                                                                    Grand-Dakar,
                                                                                Dakar
                                    
                                        23. avr., 13:37
                                    
                    50 000 F Cfa
                        
                        782963838
                    
                        762963434
                    
                        771874229","https://www.expat-dakar.com/annonce/housse-voiture-de-luxe-5-places-5099581","Détails","Neuf","Grand-Dakar
            
                Dakar","50 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/2498f71be500e38c3006289e312755b4/-/horizon-files-prod/ed/picture/qjv0n5r/e4a2da62631e76a0050d6f551d03f8cc168db03b.png"
"1750853652-39","https://www.expat-dakar.com/equipements-pieces?page=27","chargeur
                                Neuf
                                                                                    Ouakam,
                                                                                Dakar
                                    
                                        jeudi, 12:09
                                    
                    12 000 F Cfa
                        
                        775636576
                    
                        772891632","https://www.expat-dakar.com/annonce/chargeur-5864952","Détails","Neuf","Ouakam
            
                Dakar","12 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/39b9ebc08d299774791fce091e44819b/-/horizon-files-prod/ed/picture/q8v50wr7/2a132d53304b5489cafeeb9465a132833d51402c.jpg"
"1750853661-40","https://www.expat-dakar.com/equipements-pieces?page=27","LED EXTERNAL LENS SPOT LIGHT / MINI FEUX DE CONDUITES
                                Neuf
                                                                                    Hann maristes,
                                                                                Dakar
                                    
                                        16. avr., 15:47
                                    
                    25 000 F Cfa
                        
                        785268888
                    
                        785268888
                    
                        776968484","https://www.expat-dakar.com/annonce/led-external-lens-spot-light-mini-feux-de-conduites-5763575","","Neuf","Hann maristes
            
                Dakar","25 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/896968154f729228ee6dc87b4294c0f1/-/horizon-files-prod/ed/picture/q44d20n9/b9c44881b3cac9e92e894190fd211bd7734a4a5e.jpg"
"1750853669-41","https://www.expat-dakar.com/equipements-pieces?page=26","Bache voiture  imperméable et doublé en coton
                                Neuf
                                                                                    Grand-Dakar,
                                                                                Dakar
                                    
                                        23. avr., 13:37
                                    
                    19 000 F Cfa
                        
                        782963838
                    
                        762963434
                    
                        771874229","https://www.expat-dakar.com/annonce/bache-voiture-impermeable-et-double-en-coton-5381560","Détails","Neuf","Grand-Dakar
            
                Dakar","19 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/9b7c4873430582ad034721b96ecbfec4/-/horizon-files-prod/ed/picture/qpdpkjxj/635a1e447b63bfa24f18a5d906a925b8db180458.png"
"1750853673-42","https://www.expat-dakar.com/equipements-pieces?page=26","Aspirateur Multifonction 4 en 1 Pour Voiture
                                Neuf
                                                                                    Hann Bel-Air,
                                                                                Dakar
                                    
                                        30. avr., 12:54
                                    
                    45 000 F Cfa
                        
                        775160371
                    
                        784319494","https://www.expat-dakar.com/annonce/aspirateur-multifonction-4-en-1-pour-voiture-5895966","Détails","Neuf","Hann Bel-Air
            
                Dakar","45 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/7c2d86f9f612d7aa2cd9e0a89b1aec68/-/horizon-files-prod/ed/picture/q6xkkwjz/80409286eee1f7253721759bde351f7a0b562a17.jpg"
"1750853679-43","https://www.expat-dakar.com/equipements-pieces?page=26","Bâche auto(couvre-voiture) suv,4×4
                                Neuf
                                                                                    Liberte 6,
                                                                                Dakar
                                    
                                        4. avr., 19:35
                                    
                    25 000 F Cfa
                        
                        770922410","https://www.expat-dakar.com/annonce/bache-autocouvre-voiture-suv44-5909587","Détails","Neuf","Liberte 6
            
                Dakar","25 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/ff23d6dfa691271b466193bfdc06790c/-/horizon-files-prod/ed/picture/qzvdpgnq/9610eba8bac11d9d4297fc781d35800fbb2f957e.jpg"
"1750853689-44","https://www.expat-dakar.com/equipements-pieces?page=26","Gyrophare Led
                                Neuf
                                                                                    Hann maristes,
                                                                                Dakar
                                    
                                        16. avr., 17:04
                                    
                    40 000 F Cfa
                        
                        785268888
                    
                        785268888
                    
                        776968484","https://www.expat-dakar.com/annonce/gyrophare-led-5524782","Détails","Neuf","Hann maristes
            
                Dakar","40 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/e094e98c2eef4684bdceaff9a29f4c74/-/horizon-files-prod/ed/picture/qpddqvv2/c78a4016f97d5800b86c4f53f2876d51b32b7852.jpg"
