web-scraper-order,web-scraper-start-url,voiture_link,voiture_link-href,etat,marque,annee,boite_vitesse,adresse,prix,image-src
"1750846578-11","https://www.expat-dakar.com/voitures?page=371","Ford fusion titanium
                                VenantFord2016Automatique
                                                                                    Liberte 6,
                                                                                Dakar
                                    
                                        28. févr., 23:08
                                    
                    6 300 000 F Cfa
                        
                        771341824
                    
                        771341824","https://www.expat-dakar.com/annonce/ford-fusion-titanium-6297073","Venant","Ford","2016","Automatique","Liberte 6","6 300 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/b76d6777e1af10f14b656a207d4d2a72/-/horizon-files-prod/ed/picture/qq42j5gk/e9011b267bd50b8d5adf215c08f55ea9df180168.jpg"
"1750846581-12","https://www.expat-dakar.com/voitures?page=371","Toyota RAV4
                                D'occasionToyota2016Automatique
                                                                                    Almadies,
                                                                                Dakar
                                    
                                        samedi, 18:43
                                    
                    8 000 000 F Cfa
                        
                        773857318","https://www.expat-dakar.com/annonce/toyota-rav4-6297579","D'occasion","Toyota","2016","Automatique","Almadies","8 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/9c1bd6abb761fd31cdaf1c519b2559be/-/horizon-files-prod/ed/picture/qgqwn80k/820c35522b227173b66beede90c1d1672bbc492c.jpg"
"1750846584-13","https://www.expat-dakar.com/voitures?page=371","Très belle Mercedes-Benz
                                VenantMercedes-Benz2020Automatique
                                                                                    Yoff,
                                                                                Dakar
                                    
                                        18. mai, 18:22
                                    
                    32 000 000 F Cfa
                        
                        776373164
                    
                        777109246
                    
                        776373164","https://www.expat-dakar.com/annonce/tres-belle-mercedes-benz-6297626","Venant","Mercedes-Benz","2020","Automatique","Yoff","32 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/37d692da0cecb934b2616652a1c49ed0/-/horizon-files-prod/ed/picture/q9mjeg2v/435a8b28ea55e3970de260ee0228162188633d9d.jpg"
"1750846586-14","https://www.expat-dakar.com/voitures?page=371","Belle Mercedes-Benz GLE 350
                                VenantMercedes-Benz2020Automatique
                                                                                    Yoff,
                                                                                Dakar
                                    
                                        18. mai, 18:21
                                    
                    32 000 000 F Cfa
                        
                        776373164
                    
                        777109246
                    
                        776373164","https://www.expat-dakar.com/annonce/belle-mercedes-benz-gle-350-6297608","Venant","Mercedes-Benz","2020","Automatique","Yoff","32 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/bac0260b21602d1774546d6ac3b782aa/-/horizon-files-prod/ed/picture/q8v4egxj/23318784ab7ef83d3d46b49ef83bda4f65b352e6.jpg"
"1750846589-15","https://www.expat-dakar.com/voitures?page=371","Mazda CX9 2017 venant
                                VenantMazda2017Automatique
                                                                                    Liberte 6,
                                                                                Dakar
                                    
                                        1. mars, 21:52
                                    
                    11 800 000 F Cfa
                        
                        771341824
                    
                        771341824","https://www.expat-dakar.com/annonce/mazda-cx9-2017-venant-6297733","Venant","Mazda","2017","Automatique","Liberte 6","11 800 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/2441943298253c6ecf591b51f1236b8c/-/horizon-files-prod/ed/picture/qxjp0qrn/63a6ce7d00ea79eedc43ab8831dc1d564e7adfb6.jpg"
"1750846594-16","https://www.expat-dakar.com/voitures?page=370","2019 BMW X3 SDrive 28i
                                VenantBMW2019Automatique
                                                                                    Sacré-cœur,
                                                                                Dakar
                                    
                                        30. mai, 20:00
                                    
                    19 500 000 F Cfa
                        
                        773785200
                    
                        779243562
                    
                        775573057","https://www.expat-dakar.com/annonce/2019-bmw-x3-sdrive-28i-6297785","Venant","BMW","2019","Automatique","Sacré-cœur","19 500 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/386028c4657d56e67571aec89bf46d4b/-/horizon-files-prod/ed/picture/q56degm7/4f1b31d3302c7f8161e2c0ddfd584ca1223e874f.jpg"
"1750846597-17","https://www.expat-dakar.com/voitures?page=370","Mitsubishi pick up L200 2017
                                VenantMitsubishi2017Automatique
                                                                                    Guinaw rail,
                                                                                Dakar
                                    
                                        lundi, 13:14
                                    
                    18 500 000 F Cfa
                        
                        774307522","https://www.expat-dakar.com/annonce/mitsubishi-pick-up-l200-2017-6297779","Venant","Mitsubishi","2017","Automatique","Guinaw rail","18 500 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/dab4ef8d48c33930d9c5830e97768d83/-/horizon-files-prod/ed/picture/qgqwn8vr/35b963b0e9f482c118def8036005f0f86ec66d86.jpg"
"1750846600-18","https://www.expat-dakar.com/voitures?page=370","Hyundai elantra 2017
                                D'occasionHyundai2017Automatique
                                                                                    Guediawaye,
                                                                                Dakar
                                    
                                        17. mai, 19:54
                                    
                    6 300 000 F Cfa
                        
                        777972978","https://www.expat-dakar.com/annonce/hyundai-elantra-2017-6297602","D'occasion","Hyundai","2017","Automatique","Guediawaye","6 300 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/85e6e73cfdbadde8f2224cbfbbcd6245/-/horizon-files-prod/ed/picture/qv4w7z5v/2d6ef302573d32afa09e55fb34616be33bdc2b0f.jpg"
"1750846602-19","https://www.expat-dakar.com/voitures?page=370","Peugeot 308
                                D'occasionPeugeot2014Manuelle
                                                                                    Ouakam,
                                                                                Dakar
                                    
                                        4. mai, 12:28
                                    
                    4 750 000 F Cfa
                        
                        774247030","https://www.expat-dakar.com/annonce/peugeot-308-6297984","D'occasion","Peugeot","2014","Manuelle","Ouakam","4 750 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/1f68a99c086bff7cfdff5418f5096ff2/-/horizon-files-prod/ed/picture/qde7v42r/1b3c35c1e9154f7c62946ab32a1586acac4cf0e4.jpg"
"1750846605-20","https://www.expat-dakar.com/voitures?page=370","Kia sportage 2015
                                NeufKia2015Automatique
                                                                                    Sicap foire,
                                                                                Dakar
                                    
                                        7. avr., 14:03
                                    
                    7 800 000 F Cfa
                        
                        776347296","https://www.expat-dakar.com/annonce/kia-sportage-2015-6298914","Neuf","Kia","2015","Automatique","Sicap foire","7 800 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/7e499ee53deb2dd7af9bfb497a778db1/-/horizon-files-prod/ed/picture/qkr84vpp/3a607878a31c370aa186c484cc9c4bd2156a0c81.jpg"
"1750846607-21","https://www.expat-dakar.com/voitures?page=370","Jeep  2017
                                D'occasionJeep2017Automatique
                                                                                    Parcelles Assainies,
                                                                                Dakar
                                    
                                        22. mai, 02:35
                                    
                    6 000 000 F Cfa
                        
                        777841069","https://www.expat-dakar.com/annonce/jeep-2017-6298983","D'occasion","Jeep","2017","Automatique","Parcelles Assainies","6 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/d14f99bbce0185d57414c2163fc44245/-/horizon-files-prod/ed/picture/q2j0engg/a074c73ec322ff2a0c203e97de7136ce1d884328.jpg"
"1750846633-22","https://www.expat-dakar.com/voitures?page=370","Bmw x4 2016
                                VenantBMW2016Automatique
                                                                                    Sacré-cœur,
                                                                                Dakar
                                    
                                        3. mars, 23:05
                                    
                    15 500 000 F Cfa
                        
                        768278880
                    
                        774636993","https://www.expat-dakar.com/annonce/bmw-x4-2016-6299250","Venant","BMW","2016","Automatique","Sacré-cœur","15 500 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/411e121aefb2bef6cb620bd972450a92/-/horizon-files-prod/ed/picture/qwepv5q5/48f391ad8799c4f2e99095825ee497ed99033bed.jpg"
"1750846661-23","https://www.expat-dakar.com/voitures?page=369","KIA SPORTAGE 2019
                                NeufKia2019Automatique
                                                                                    Cité Damel,
                                                                                Dakar
                                    
                                        4. mars, 00:06
                                    
                    11 500 000 F Cfa
                        
                        787350929","https://www.expat-dakar.com/annonce/kia-sportage-2019-6297655","Neuf","Kia","2019","Automatique","Cité Damel","11 500 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/4359bc92ea8a228a7061f7e087382ec7/-/horizon-files-prod/ed/picture/qxjp0qmj/6b5864b1e5d4f4ae2aabb865df9b2de2c8c63e50.jpg"
"1750846664-24","https://www.expat-dakar.com/voitures?page=369","Hyundai Tucson
                                VenantHyundai2017Automatique
                                                                                    Gueule-Tapée,
                                                                                Dakar
                                    
                                        6. mars, 00:41
                                    
                    8 800 000 F Cfa
                        
                        772165442
                    
                        772165442
                    
                        779878422","https://www.expat-dakar.com/annonce/hyundai-tucson-6299362","Venant","Hyundai","2017","Automatique","Gueule-Tapée","8 800 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/b4e133c0281e3ea318fa8af492fb00d1/-/horizon-files-prod/ed/picture/qde7vz7m/b4dfccc51f724a4bfa29e0e02ea135bcc485a39d.jpg"
"1750846666-25","https://www.expat-dakar.com/voitures?page=369","Mercedes-Benz A220 2019 venant
                                VenantMercedes-Benz2019Automatique
                                                                                    Liberte 6 extension,
                                                                                Dakar
                                    
                                        4. mars, 22:53
                                    
                    18 000 000 F Cfa
                        
                        774942257
                    
                        773476934
                    
                        338230428","https://www.expat-dakar.com/annonce/mercedes-benz-a220-2019-venant-6300439","Venant","Mercedes-Benz","2019","Automatique","Liberte 6 extension","18 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/b7603026d61a222d040a31df90965af4/-/horizon-files-prod/ed/picture/q2j0evg2/f5b5956b7ad3f1b1e61a1840cd40f568d24790ed.jpg"
"1750846670-26","https://www.expat-dakar.com/voitures?page=369","BMW X7 40i 2019
                                D'occasionBMW2019
                                                                                    Mermoz,
                                                                                Dakar
                                    
                                        6. avr., 00:34
                                    
                    45 000 000 F Cfa
                        
                        773530808","https://www.expat-dakar.com/annonce/bmw-x7-40i-2019-6300483","D'occasion","BMW","2019","","Mermoz","45 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/d10779657855b320972ea32cbff89323/-/horizon-files-prod/ed/picture/q2j0evd2/7a71817a2a63a83902e58d2c051e2ab7e73e78ad.jpg"
"1750846680-27","https://www.expat-dakar.com/voitures?page=369","Rav4 2015
                                D'occasionToyota2015Automatique
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        20. mai, 03:02
                                    
                    7 500 000 F Cfa
                        
                        774176545","https://www.expat-dakar.com/annonce/rav4-2015-6300406","D'occasion","Toyota","2015","Automatique","Plateau","7 500 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/9d5f21cb75cbaa9396de17bc0b521e74/-/horizon-files-prod/ed/picture/qwepvxkz/4ac2aa44b6fe28f57c39cc4f6de81e8e0d5b6394.jpg"
"1750846682-28","https://www.expat-dakar.com/voitures?page=369","Kia sorento diesel 2017
                                VenantKia2017Automatique
                                                                                    Cité Damel,
                                                                                Dakar
                                    
                                        17. mars, 12:42
                                    
                    11 700 000 F Cfa
                        
                        775483835
                    
                        775483835","https://www.expat-dakar.com/annonce/kia-sorento-diesel-2017-6301211","Venant","Kia","2017","Automatique","Cité Damel","11 700 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/f556d26971b8c912d0d8f275c4fc2e3f/-/horizon-files-prod/ed/picture/qxjp0vdm/1bb925397e25e1bea3c20272433e71a19940ba9d.jpg"
"1750846685-29","https://www.expat-dakar.com/voitures?page=369","BMW X1 2017
                                D'occasionBMW2017Automatique
                                                                                    Mermoz,
                                                                                Dakar
                                    
                                        5. mars, 21:56
                                    
                    8 500 000 F Cfa
                        
                        773359143","https://www.expat-dakar.com/annonce/bmw-x1-2017-6295032","D'occasion","BMW","2017","Automatique","Mermoz","8 500 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/35d376a02dea23fad9f4d84ea399255b/-/horizon-files-prod/ed/picture/qrz8p8r9/f68b4d35410ed1fe5cae78b8425e435fd76cec1d.jpg"
"1750846688-30","https://www.expat-dakar.com/voitures?page=369","Peugeot 406
                                D'occasionPeugeot2005Manuelle
                                                                                    Mermoz,
                                                                                Dakar
                                    
                                        5. mars, 22:44
                                    
                    2 800 000 F Cfa
                        
                        778535200","https://www.expat-dakar.com/annonce/peugeot-406-6301339","D'occasion","Peugeot","2005","Manuelle","Mermoz","2 800 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/d2c94dad5c6e9fba06b56870ce2fd5cb/-/horizon-files-prod/ed/picture/q2j0e67d/3de42fcd67bb9154bad950002fff47760340bf25.jpg"
"1750846694-31","https://www.expat-dakar.com/voitures?page=368","Renault Samsung sm6
                                VenantRenault2017Automatique
                                                                                    Liberte 6,
                                                                                Dakar
                                    
                                        6. mars, 00:41
                                    
                    7 000 000 F Cfa
                        
                        786627575","https://www.expat-dakar.com/annonce/renault-samsung-sm6-6301368","Venant","Renault","2017","Automatique","Liberte 6","7 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/d1d615de10d6677b0615d778e1dcc056/-/horizon-files-prod/ed/picture/qv4w7698/47dbcae1c702443a60f8ce4962074a1e11c21eea.jpg"
"1750846696-32","https://www.expat-dakar.com/voitures?page=368","Peugeot 3008 2018
                                VenantPeugeot2018Automatique
                                                                                    Liberte 6,
                                                                                Dakar
                                    
                                        6. mars, 00:45
                                    
                    14 000 000 F Cfa
                        
                        786627575","https://www.expat-dakar.com/annonce/peugeot-3008-2018-6301370","Venant","Peugeot","2018","Automatique","Liberte 6","14 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/0291df5d61a19b0f557a9312b7d2e3ef/-/horizon-files-prod/ed/picture/q9mjeqrp/ea58daf715ffdd2ef1d59a8b786975e225f5ff91.jpg"
"1750846699-33","https://www.expat-dakar.com/voitures?page=368","Hyundai sonata 2017
                                VenantHyundai2017Automatique
                                                                                    Cité Damel,
                                                                                Dakar
                                    
                                        17. mars, 12:42
                                    
                    6 500 000 F Cfa
                        
                        775483835
                    
                        775483835","https://www.expat-dakar.com/annonce/hyundai-sonata-2017-6301410","Venant","Hyundai","2017","Automatique","Cité Damel","6 500 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/ec1dfba79170ae6d0a0a1d555a1a6b3c/-/horizon-files-prod/ed/picture/qrz8pe7x/785e90c717bc5c83592ddb8df31e09241a188cd4.jpg"
"1750846701-34","https://www.expat-dakar.com/voitures?page=368","MAZDA CX5 2016
                                D'occasionMazda2016
                                                                                    Hann maristes,
                                                                                Dakar
                                    
                                        27. mars, 13:10
                                    
                    7 500 000 F Cfa
                        
                        775720000
                    
                        773632833","https://www.expat-dakar.com/annonce/mazda-cx5-2016-6302121","D'occasion","Mazda","2016","","Hann maristes","7 500 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/6707402362e1948a9d4d0b3f173c069a/-/horizon-files-prod/ed/picture/qzvpnm7v/8bf004870d5e982e13f46e021bd22a3449766588.jpg"
"1750846711-35","https://www.expat-dakar.com/voitures?page=368","Hyundai starex limousine 2017
                                VenantHyundai2017Automatique
                                                                                    Ouakam,
                                                                                Dakar
                                    
                                        9. avr., 15:18
                                    
                    12 500 000 F Cfa
                        
                        768278880
                    
                        774636993","https://www.expat-dakar.com/annonce/hyundai-starex-limousine-2017-6302256","Venant","Hyundai","2017","Automatique","Ouakam","12 500 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/34ec98016728c429422ada03c73c951e/-/horizon-files-prod/ed/picture/qm5gxxgg/1c4c6e5d3066d973e34076a52be162cee9aed5f4.jpg"
"1750846714-36","https://www.expat-dakar.com/voitures?page=368","Peugeot Partner 5 place
                                VenantPeugeot2017Manuelle
                                                                                    Guinaw rail,
                                                                                Dakar
                                    
                                        28. mars, 00:08
                                    
                    6 800 000 F Cfa
                        
                        779081137","https://www.expat-dakar.com/annonce/peugeot-partner-5-place-6302283","Venant","Peugeot","2017","Manuelle","Guinaw rail","6 800 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/fd39a1843e23eff6f689f109abefe9f0/-/horizon-files-prod/ed/picture/q2j0eekg/0b956a72496c9be1e0e0b2c2cad8462700c5fe26.jpg"
"1750846718-37","https://www.expat-dakar.com/voitures?page=368","Ford Escape Carré
                                D'occasionFord2011Automatique
                                                                                    Colobane,
                                                                                Dakar
                                    
                                        8. mai, 14:55
                                    
                    2 700 000 F Cfa
                        
                        773570164","https://www.expat-dakar.com/annonce/ford-escape-carre-6302558","D'occasion","Ford","2011","Automatique","Colobane","2 700 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/744a8d3ba794f698470a5e179525de61/-/horizon-files-prod/ed/picture/qkr844ew/96261d4cbc62eefdcd877c5fd9f37e9e3a85b134.jpg"
"1750846725-38","https://www.expat-dakar.com/voitures?page=367","SSANGYONG KORANDO TURISMO 2016
                                VenantSsangyong2016Automatique
                                                                                    Parcelles Assainies,
                                                                                Dakar
                                    
                                        Hier, 01:22
                                    
                    7 200 000 F Cfa
                        
                        761820555
                    
                        773237735","https://www.expat-dakar.com/annonce/ssangyong-korando-turismo-2016-6302662","Venant","Ssangyong","2016","Automatique","Parcelles Assainies","7 200 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/004525438eaf197fd9736fe092082934/-/horizon-files-prod/ed/picture/qde7v5rm/19249473a145964f68d60a6356c9c5afc632f483.jpg"
"1750846728-39","https://www.expat-dakar.com/voitures?page=367","Ford Taurus
                                D'occasionFord2012Automatique
                                                                                    Sicap foire,
                                                                                Dakar
                                    
                                        19. avr., 14:08
                                    
                    4 200 000 F Cfa
                        
                        776347296","https://www.expat-dakar.com/annonce/ford-taurus-6294743","D'occasion","Ford","2012","Automatique","Sicap foire","4 200 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/2196c06b47b29b82978cd2c09800deae/-/horizon-files-prod/ed/picture/qzvpndwk/6c13d32b0149388623e72058a4f0a0962b3997e9.jpg"
"1750846731-40","https://www.expat-dakar.com/voitures?page=367","Maserati Levante GranSport
                                D'occasionMaserati2018Automatique
                                                                                    VDN,
                                                                                Dakar
                                    
                                        22. avr., 17:37
                                    
                    34 900 000 F Cfa
                        
                        788301010
                    
                        773197078
                    
                        772235243","https://www.expat-dakar.com/annonce/maserati-levante-gransport-6297446","D'occasion","Maserati","2018","Automatique","VDN","34 900 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/a7dbc829c9cb72728614c4ad172ea40c/-/horizon-files-prod/ed/picture/qv4w7zd5/a97df04b5e2d5ba2e4c57be3108f927cf03a8d95.jpg"
"1750846741-41","https://www.expat-dakar.com/voitures?page=367","Hyundai Tucson 2018
                                VenantHyundai2018Automatique
                                                                                    Parcelles Assainies,
                                                                                Dakar
                                    
                                        27. mars, 02:56
                                    
                    11 000 000 F Cfa
                        
                        772531147","https://www.expat-dakar.com/annonce/hyundai-tucson-2018-6303682","Venant","Hyundai","2018","Automatique","Parcelles Assainies","11 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/ad3e6bf4c1bc7b82fd904b3d7c8d4a3b/-/horizon-files-prod/ed/picture/qpdmxp6p/a9fbf8ff34eb25459a21c5863efbb1fa376d93ff.jpg"
"1750846743-42","https://www.expat-dakar.com/voitures?page=367","2016 VOLKSWAGEN GOLF 7 TSI
                                D'occasionVolkswagen2016Manuelle
                                                                                    VDN,
                                                                                Dakar
                                    
                                        24. avr., 14:21
                                    
                    5 500 000 F Cfa
                        
                        781015151
                    
                        777868944
                    
                        776052074","https://www.expat-dakar.com/annonce/2016-volkswagen-golf-7-tsi-6246253","D'occasion","Volkswagen","2016","Manuelle","VDN","5 500 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/dbfb6a9e8abb5b09f2b2490c5f2e98a1/-/horizon-files-prod/ed/picture/q44nw272/1ca9fa995dfda63a5c350015495ad021dd7c7592.jpg"
"1750846746-43","https://www.expat-dakar.com/voitures?page=367","Chevrolet équinoxe
                                D'occasionChevrolet2017Automatique
                                                                                    Cité Damel,
                                                                                Dakar
                                    
                                        17. mars, 12:43
                                    
                    5 500 000 F Cfa
                        
                        775483835
                    
                        775483835","https://www.expat-dakar.com/annonce/chevrolet-equinoxe-6303430","D'occasion","Chevrolet","2017","Automatique","Cité Damel","5 500 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/0bcd756910745aff2be153f0257d43ba/-/horizon-files-prod/ed/picture/q8v4eq2x/5ca925764ebb96f7ce9cb2c203938ed004f1aab6.jpg"
"1750846749-44","https://www.expat-dakar.com/voitures?page=367","Land Rover Discovered 2016
                                D'occasionLand Rover2016Automatique
                                                                                    Parcelles Assainies,
                                                                                Dakar
                                    
                                        25. mai, 01:46
                                    
                    9 900 000 F Cfa
                        
                        772531147","https://www.expat-dakar.com/annonce/land-rover-discovered-2016-6304182","D'occasion","Land Rover","2016","Automatique","Parcelles Assainies","9 900 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/8ede9c71f1ecee977ce490f6e54749f4/-/horizon-files-prod/ed/picture/qpdmxd64/21fea59bf2a24e51259b99c53c78ec6aef265643.jpg"
